Time (Sec);S1;S7;S49;S47;S25;S41;S46;S48;S24;S2;S51;S33;S34;S50;S35;S17;S26;S43;S18;S20;S11;S42;
0.0;19159.9999;19160.0;19160.0;19160.0;19159.9999;19159.9999;19160.0;19160.0;19159.9999;19159.9999;19160.0;19159.9999;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19160.0;19159.9999;
60.0;19159.9730784;19159.9835264;19159.924172799976;19159.944478399986;19159.971183999995;19159.978287999995;19159.954697600006;19159.944478399986;19159.971183999995;19159.9730784;19159.921395199977;19159.978287999995;19159.985491999996;19159.921395199977;19159.989704;19159.9835264;19159.9835264;19159.989704;19159.971183999995;19159.971183999995;19159.865500799984;19159.985491999996;
120.00000000000013;19159.952887199997;19159.958816;19159.798900799942;19159.903643199978;19159.90624799998;19159.963979999993;19159.880795200017;19159.904345599978;19159.901985599972;19159.908142399985;19159.728267199927;19159.963506399992;19159.978387999996;19159.85817919996;19159.9835264;19159.9711712;19159.946460799998;19159.9835264;19159.94957199999;19159.94957199999;19159.64594719997;19159.978387999996;
180.00000000000028;19159.932695999996;19159.940283199998;19159.706854399916;19159.82397919996;19159.863123999974;19159.920755999985;19159.783555200032;19159.82491039996;19159.809854399944;19159.867386399983;19159.533979199878;19159.920282399984;19159.970710399994;19159.66505119991;19159.969112;19159.934105599998;19159.909395199997;19159.969112;19159.88047359997;19159.884735999978;19159.357036799956;19159.971183999995;
240.00000000000028;19159.911083999992;19159.919691199997;19159.595811199888;19159.66053759992;19159.84151199997;19159.884735999978;19159.657028800055;19159.753169599942;19159.717723199916;19159.816958399973;19159.371299199836;19159.877058399976;19159.917440799978;19159.407547199844;19159.942342399998;19159.884684799996;19159.878507199996;19159.9567568;19159.78834239994;19159.79828799996;19158.98096479995;19159.963979999993;
300.0096733333332;19159.882267999987;19159.888803199996;19159.434339199845;19159.529534399888;19159.819899999966;19159.870327999975;19159.558644800072;19159.713036799934;19159.674125599908;19159.723306399956;19159.27577279981;19159.84103839997;19159.86369759996;19159.209598399793;19159.919691199997;19159.847619199994;19159.859974399995;19159.950579199998;19159.68853359991;19159.755063999954;19158.688542399945;19159.94909839999;
360.01076266666576;19159.83904399998;19159.851737599995;19159.248123199795;19159.430612799864;19159.79828799996;19159.855919999973;19159.45545600009;19159.681199999926;19159.61270479989;19159.63685839994;19159.15804639978;19159.826630399966;19159.817631999947;19159.002751999742;19159.903217599996;19159.808494399993;19159.839382399994;19159.944401599998;19159.596402399882;19159.697431999943;19158.38182719994;19159.941894399988;
420.0107626666649;19159.80302399997;19159.814671999993;19159.058475199745;19159.33169119984;19159.74065599995;19159.83430799997;19159.333734400112;19159.64106719992;19159.52057359986;19159.550410399923;19158.95606399973;19159.805018399962;19159.771566399933;19158.745247999675;19159.886743999996;19159.75907359999;19159.800257599993;19159.938223999998;19159.504271199854;19159.610983999926;19158.020047999933;19159.934216799986;
480.01076266666394;19159.74539199996;19159.787902399992;19158.92643999971;19159.183995199804;19159.654207999934;19159.812695999964;19159.22208000013;19159.585316799905;19159.428442399832;19159.51675839992;19158.698559999662;19159.761794399954;19159.72550079992;19158.618587199642;19159.862033599995;19159.73436319999;19159.75083679999;19159.927927999997;19159.468251199847;19159.57496399992;19157.688259199924;19159.927012799984;
540.0096733333299;19159.658943999944;19159.75701439999;19158.770033599667;19159.063724799777;19159.567759999918;19159.78387999996;19159.120721600146;19159.537489599894;19159.336311199804;19159.49656719992;19158.437623999595;19159.718570399946;19159.703888799915;19158.555371199625;19159.841441599994;19159.72200799999;19159.70141599999;19159.919691199997;19159.446639199843;19159.553351999915;19157.387163199903;19159.919335199982;
600.0096733333306;19159.625291999942;19159.73848159999;19158.67846079964;19158.999678399763;19159.4813119999;19159.74065599995;19159.02874400016;19159.448827199874;19159.244179999776;19159.47637599992;19158.180119999528;19159.69695839994;19159.696684799914;19158.49215519961;19159.831145599994;19159.70965279999;19159.651995199987;19159.905276799996;19159.42502719984;19159.53173999991;19157.113950399886;19159.91165759998;
660.0096733333282;19159.60367999994;19159.72612639999;19158.616404799624;19158.968070399755;19159.394863999885;19159.697431999943;19158.94660480017;19159.303972799844;19159.20815999977;19159.456184799918;19157.99390399948;19159.68255039994;19159.689480799912;19158.38963679958;19159.824967999994;19159.68906079999;19159.614929599986;19159.880566399996;19159.403415199835;19159.4741079999;19156.870025599856;19159.865591999966;
720.0096733333257;19159.546047999927;19159.69729759999;19158.466059199585;19158.927937599747;19159.30841599987;19159.654207999934;19158.845246400186;19159.19946399982;19159.14673919975;19159.398552799907;19157.790351999425;19159.668142399936;19159.68227679991;19158.23159679954;19159.818790399993;19159.658172799987;19159.575804799984;19159.862033599995;19159.38180319983;19159.387659999884;19156.568929599827;19159.85023679996;
780.0096733333243;19159.51002799992;19159.660231999987;19158.276411199535;19158.89632959974;19159.221967999852;19159.610983999926;19158.738625600203;19159.1112751998;19159.054607999722;19159.31210479989;19157.53284799936;19159.653734399933;19159.67507279991;19158.094921599502;19159.812612799993;19159.631403199986;19159.526383999982;19159.847619199994;19159.320855999813;19159.351639999877;19156.252135999806;19159.84255919996;
840.0096733333239;19159.45239599991;19159.621107199986;19158.07563679948;19158.85596799973;19159.185947999846;19159.567759999918;19158.641614400218;19159.007926399776;19158.962476799694;19159.225656799874;19157.34199199931;19159.63932639993;19159.667395199907;19158.00779199948;19159.806435199993;19159.614929599986;19159.48931839998;19159.829086399994;19159.292039999807;19159.330027999873;19155.963927999783;19159.820947199954;
900.009673333322;19159.423579999904;19159.586100799985;19157.893683199432;19158.77419679971;19159.16433599984;19159.52453599991;19158.553068800233;19158.919263999756;19158.926456799687;19159.139208799857;19157.250126399285;19159.610510399925;19159.629007199896;19157.902724799453;19159.792020799992;19159.594337599985;19159.47078559998;19159.814671999993;19159.270427999803;19159.269080799855;19155.70079359977;19159.813269599952;
